#SampleID	Digit	Hand	Keysize	Key	Source	Individual	Spacebar	SpacebarSex	Typingdigit	Handkey	TypingHand	TypingHandSource	TypingHandIndiv	TypingHandSourceIndiv	UseFreq	Description
NFRingR	Ring	Right	NA	NA	Fing	NF	NA	NA	Ri	Right	RiRight	RiRightFing	RiRightNF	RiRightFingNF	NA	Noahf.ring-right
NFRingL	Ring	Left	NA	NA	Fing	NF	NA	NA	Ri	Left	RiLeft	RiLeftFing	RiLeftNF	RiLeftFingNF	NA	Noahf.ring-left
DMPinkyL	Pinky	Left	NA	NA	Fing	DM	NA	NA	Pi	Left	PiLeft	PiLeftFing	PiLeftDM	PiLeftFingDM	NA	Danielm.pinky-left
DMIndexL	Index	Left	NA	NA	Fing	DM	NA	NA	In	Left	InLeft	InLeftFing	InLeftDM	InLeftFingDM	NA	Danielm.index-left
NFkeyP	NA	NA	Small	P	Key	NF	NA	NA	Pi	Right	PiRight	PiRightKey	PiRightNF	PiRightKeyNF	1to2	"Noahf.key, p"
DMkeyL	NA	NA	Small	L	Key	DM	NA	NA	Ri	Right	RiRight	RiRightKey	RiRightDM	RiRightKeyDM	2to6	"Danielm.key, l"
DMkeyE	NA	NA	Small	E	Key	DM	NA	NA	Mi	Left	MiLeft	MiLeftKey	MiLeftDM	MiLeftKeyDM	7plus	"Danielm.key, e"
DMkeyRightShift	NA	NA	Medium	RightShift	Key	DM	NA	NA	Pi	Right	PiRight	PiRightKey	PiRightDM	PiRightKeyDM	NA	"Danielm.key, shift-right"
Female3Space	NA	NA	Large	Space	Key	NA	Private	Female	NA	NA	NA	NA	NA	NA	NA	"Female, personal keyboard spacebar"
Female5Space	NA	NA	Large	Space	Key	NA	Private	Female	NA	NA	NA	NA	NA	NA	NA	"Female, personal keyboard spacebar"
RKkeyEnter	NA	NA	Medium	Enter	Key	RK	NA	NA	Unk	Right	UnkRight	UnkRightKey	UnkRightRK	UnkRightKeyRK	NA	"Robk.key, enter"
DMMiddleR	Middle	Right	NA	NA	Fing	DM	NA	NA	Mi	Right	MiRight	MiRightFing	MiRightDM	MiRightFingDM	NA	Danielm.middle-right
RKThumbL	Thumb	Left	NA	NA	Fing	RK	NA	NA	Th	Left	ThLeft	ThLeftFing	ThLeftRK	ThLeftFingRK	NA	Robk.thumb-left
RKThumbR	Thumb	Right	NA	NA	Fing	RK	NA	NA	Th	Right	ThRight	ThRightFing	ThRightRK	ThRightFingRK	NA	Robk.thumb-right
DMMiddleL	Middle	Left	NA	NA	Fing	DM	NA	NA	Mi	Left	MiLeft	MiLeftFing	MiLeftDM	MiLeftFingDM	NA	Danielm.middle-left
Library2Space	NA	NA	Large	Space	Key	NA	Public	Mixed	NA	NA	NA	NA	NA	NA	NA	"Library, public keyboard spacebar"
NFkeyEnter	NA	NA	Medium	Enter	Key	NF	NA	NA	Unk	Right	UnkRight	UnkRightKey	UnkRightNF	UnkRightKeyNF	NA	"Noahf.key, enter"
Male1Space	NA	NA	Large	Space	Key	NA	Private	Male	NA	NA	NA	NA	NA	NA	NA	"Male, personal keyboard spacebar"
